Date,Open,High,Low,Close,Volume
2014-09-18,39.043,40.018,38.986,40.018,739932
2014-09-19,40.018,41.37,39.828,41.247,2032980
2014-09-22,40.765,41.058,40.604,40.68,445646
2014-09-23,40.604,40.69,39.686,39.79,494543
2014-09-24,39.885,40.424,39.384,39.497,474953
2014-09-25,39.734,40.018,39.128,39.384,645222
2014-09-26,39.289,39.497,38.977,39.346,449038
2014-09-29,39.365,40.018,38.778,39.138,648801
2014-09-30,39.261,39.422,38.665,39.024,1075553
2014-10-01,39.128,39.166,38.182,38.476,658380
2014-10-02,38.324,38.835,37.747,38.788,650155
2014-10-03,38.977,39.346,38.788,38.995,560359
2014-10-06,39.213,39.478,38.995,39.355,438987
2014-10-07,38.977,39.393,38.617,39.128,462070
2014-10-08,38.645,39.118,38.504,38.826,806834
2014-10-09,39.402,40.414,38.957,40.197,1503388
2014-10-10,39.734,40.093,39.232,39.232,1074459
2014-10-13,39.384,39.734,39.261,39.677,469271
2014-10-14,39.45,40.084,39.279,39.875,1123650
2014-10-15,40.093,40.093,39.384,39.724,912526
2014-10-16,39.591,39.885,39.118,39.365,992657
2014-10-17,39.468,39.998,39.393,39.393,922158
2014-10-20,39.639,39.696,38.882,38.882,558453
2014-10-21,38.844,39.525,38.797,39.261,1097173
2014-10-22,39.933,40.159,39.402,39.705,510094
2014-10-23,39.639,40.585,39.374,39.79,1104866
2014-10-24,39.734,40.169,39.299,39.374,511142
2014-10-27,39.45,40.056,39.355,39.393,512529
2014-10-28,39.62,39.828,39.327,39.734,279391
2014-10-29,39.734,39.989,39.147,39.346,392651
2014-10-30,39.261,39.525,38.986,39.45,1155272
2014-10-31,39.724,39.847,39.327,39.667,670016
2014-11-03,39.497,40.018,39.497,39.734,600939
2014-11-04,39.734,39.951,39.62,39.724,822322
2014-11-05,39.734,40.481,39.705,40.112,1350889
2014-11-06,39.97,40.339,39.809,40.292,1014119
2014-11-07,40.207,40.746,40.187,40.585,1004254
2014-11-10,40.414,41.503,40.414,41.503,510545
2014-11-12,40.831,42.004,40.831,42.004,1204759
2014-11-13,42.004,43.329,41.948,42.572,1495790
2014-11-14,42.572,43.017,42.109,42.997,789162
2014-11-17,43.025,43.584,42.127,42.392,940185
2014-11-18,42.392,42.789,42.335,42.657,586249
